,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,DateIn,DateRetrofit,DateOut,lat,lon,EIC,projectID,bus
4110,Shimane Prefecture Matsue City Solar,Solar,PV,PP,JP,5.3,,,,,,2014,2014,2038,35.3866333333333,132.9081,"{nan, nan, nan}","{'GEM': {'G100001043743', 'G100001043756', 'G100001043786'}}",1452
4111,Shimane Prefecture Matsue City Solar,Solar,PV,PP,JP,2,,,,,,2017,2017,2037,35.525,133.0947,{nan},{'GEM': {'G100001043778'}},1796
4112,Shimane Prefecture Matsue City Solar Xii,Solar,PV,PP,JP,1.2,,,,,,2015.74075,2015.74075,2040.74075,35.3972,132.9563,{nan},{'GEM': {'G100001043798'}},1452
4113,Shimane Prefecture Oda City Solar,Solar,PV,PP,JP,3.9,,,,,,2013,2013,2035,35.17875,132.5014,"{nan, nan}","{'GEM': {'G100001043727', 'G100001043744'}}",2303
4114,Shimane Prefecture Oda City Solar,Solar,PV,PP,JP,4,,,,,,2018,2018,2038,35.1366,132.5804,"{nan, nan}","{'GEM': {'G100001043761', 'G100001043760'}}",2303
4115,Shimane Prefecture Oda City Solar,Solar,PV,PP,JP,4.7,,,,,,2016,2016,2039,35.0706666666667,132.464266666667,"{nan, nan, nan}","{'GEM': {'G100001043745', 'G100001043788', 'G100001043746'}}",1476
4116,Shimane Prefecture Okinoshima Town Solar,Solar,PV,PP,JP,3,,,,,,2015,2015,2035,36.19575,133.3251,"{nan, nan}","{'GEM': {'G100001043777', 'G100001043770'}}",764
4117,Shimane Prefecture Okinoshima Town Solar,Solar,PV,PP,JP,1.9,,,,,,2015.74075,2015.74075,2040.74075,36.2367,133.3216,{nan},{'GEM': {'G100001043769'}},764
4118,Shimane Prefecture Okuizumo Town Solar,Solar,PV,PP,JP,6,,,,,,2016,2016,2040,35.2213,133.0875,"{nan, nan}","{'GEM': {'G100001043775', 'G100001043785'}}",2302
4119,Shimane Prefecture Unnan City Solar,Solar,PV,PP,JP,1,,,,,,2017,2017,2037,35.3271,132.8979,{nan},{'GEM': {'G100001043790'}},765
4120,Shimane Prefecture Yasugi City Solar,Solar,PV,PP,JP,2.3,,,,,,2014,2014,2037,35.4212,133.2884,"{nan, nan}","{'GEM': {'G100001043754', 'G100001043791'}}",1491
4121,Shimane Prefecture Yasugi City Solar,Solar,PV,PP,JP,1.6,,,,,,2017,2017,2037,35.2977,133.2642,{nan},{'GEM': {'G100001043792'}},1475
4122,Shimane Prefecture Yoshika Town Solar,Solar,PV,PP,JP,2.7,,,,,,2013,2013,2037,34.419,131.9593,"{nan, nan}","{'GEM': {'G100001043793', 'G100001043729'}}",2323
4123,Shimokosaba Solar,Solar,PV,PP,JP,33,,,,,,2022,2022,2047,34.1211,131.5553,{nan},{'GEM': {'G100000834474'}},621
4124,Shimokotori,Hydro,Reservoir,PP,JP,142,,,,,,1973,1973,2073,36.249,137.0277,{nan},{'GEM': {'G100000602330'}},2159
4125,Shimonoseki,Hard Coal,Steam Turbine,,JP,175,,,,,,1980,1980,2024,34.001905,131.000986,{nan},{'GEM': {'G100000114126'}},1486
4126,Shimonoseki Bioenergy,Solid Biomass,,,JP,75,,,,,,2022,2022,2042,33.9315,130.8962,{nan},{'GEM': {'G100000200787'}},273
4127,Shin Chitose Kashiwadai Solar,Solar,PV,PP,JP,28,,,,,,2017,2017,2042,42.8033,141.6864,{nan},{'GEM': {'G100000801577'}},408
4128,Shin Izumo Wind Farm,Wind,Unknown,PP,JP,78,,,,,,2009,2009,2034,35.4686,132.7356,{nan},{'GEM': {'G100000900899'}},2335
4129,Shin Minato,CCGT,CCGT,,JP,104.7,,,,,,2005,2005,2045,35.607286,140.076329,{nan},{'GEM': {'G100000410053'}},87
4130,Shin Nakachiyama,Hydro,Reservoir,PP,JP,74,,,,,,1959,1959,2059,36.5614,137.3662,{nan},{'GEM': {'G100001051986'}},1678
4131,Shin Nakasode,CCGT,CCGT,,JP,112.4,,,,,,2014,2014,2054,35.454305,139.981988,{nan},{'GEM': {'G100000404062'}},2137
4132,Shin Narude,Hydro,Reservoir,PP,JP,59,,,,,,1975,1975,2075,36.3532,136.874,{nan},{'GEM': {'G100001051686'}},884
