,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry,substation_lv
2111,2111,1426,150000,False,substation,False,transmission,0.0,101.4464,0.6539,ID,POINT (101.4464 0.6539),True
2112,2112,1426,275000,False,substation,False,transmission,0.0,101.4474,0.6549,ID,POINT (101.4474 0.6549),False
2113,2113,1427,150000,False,substation,False,transmission,0.0,101.5243,0.4114,ID,POINT (101.5243 0.4114),True
2114,2114,1428,150000,False,substation,False,transmission,0.0,96.7015,5.0305,ID,POINT (96.7015 5.0305),True
2115,2115,1429,70000,False,substation,False,transmission,0.0,97.7762,0.5821,ID,POINT (97.7762 0.5821),True
2116,2116,1430,150000,False,substation,False,transmission,0.0,104.6554,-3.2074,ID,POINT (104.6554 -3.2074),True
2117,2117,1431,150000,False,substation,False,transmission,0.0,104.1351,-2.8633,ID,POINT (104.1351 -2.8633),True
2118,2118,1432,150000,False,substation,False,transmission,0.0,104.7389,-2.884,ID,POINT (104.7389 -2.884),True
2119,2119,1433,275000,False,substation,False,transmission,0.0,103.753,-2.1557,ID,POINT (103.753 -2.1557),True
2120,2120,1434,150000,False,substation,False,transmission,0.0,101.3878,-2.0464,ID,POINT (101.3878 -2.0464),True
2121,2121,1435,150000,False,substation,False,transmission,0.0,116.0944,-1.8032,ID,POINT (116.0944 -1.8032),True
2122,2122,1436,150000,False,substation,False,transmission,0.0,115.1041,-3.9241,ID,POINT (115.1041 -3.9241),True
